species,meanCFR_all viruses,maxCFR_all viruses,meanDB_all viruses,virusesWithCFR_all viruses,htrans_all viruses,on.frac_all viruses,virusesWithOT_all viruses,meanCFR_adenoviridae,maxCFR_adenoviridae,meanDB_adenoviridae,virusesWithCFR_adenoviridae,htrans_adenoviridae,on.frac_adenoviridae,virusesWithOT_adenoviridae,meanCFR_nairoviridae,maxCFR_nairoviridae,meanDB_nairoviridae,virusesWithCFR_nairoviridae,htrans_nairoviridae,on.frac_nairoviridae,virusesWithOT_nairoviridae,meanCFR_parvoviridae,maxCFR_parvoviridae,meanDB_parvoviridae,virusesWithCFR_parvoviridae,htrans_parvoviridae,on.frac_parvoviridae,virusesWithOT_parvoviridae,meanCFR_bornaviridae,maxCFR_bornaviridae,meanDB_bornaviridae,virusesWithCFR_bornaviridae,htrans_bornaviridae,on.frac_bornaviridae,virusesWithOT_bornaviridae,meanCFR_caliciviridae,maxCFR_caliciviridae,meanDB_caliciviridae,virusesWithCFR_caliciviridae,htrans_caliciviridae,on.frac_caliciviridae,virusesWithOT_caliciviridae,meanCFR_filoviridae,maxCFR_filoviridae,meanDB_filoviridae,virusesWithCFR_filoviridae,htrans_filoviridae,on.frac_filoviridae,virusesWithOT_filoviridae,meanCFR_herpesviridae,maxCFR_herpesviridae,meanDB_herpesviridae,virusesWithCFR_herpesviridae,htrans_herpesviridae,on.frac_herpesviridae,virusesWithOT_herpesviridae,meanCFR_phenuiviridae,maxCFR_phenuiviridae,meanDB_phenuiviridae,virusesWithCFR_phenuiviridae,htrans_phenuiviridae,on.frac_phenuiviridae,virusesWithOT_phenuiviridae,meanCFR_paramyxoviridae,maxCFR_paramyxoviridae,meanDB_paramyxoviridae,virusesWithCFR_paramyxoviridae,htrans_paramyxoviridae,on.frac_paramyxoviridae,virusesWithOT_paramyxoviridae,meanCFR_peribunyaviridae,maxCFR_peribunyaviridae,meanDB_peribunyaviridae,virusesWithCFR_peribunyaviridae,htrans_peribunyaviridae,on.frac_peribunyaviridae,virusesWithOT_peribunyaviridae,meanCFR_retroviridae,maxCFR_retroviridae,meanDB_retroviridae,virusesWithCFR_retroviridae,htrans_retroviridae,on.frac_retroviridae,virusesWithOT_retroviridae,meanCFR_orthomyxoviridae,maxCFR_orthomyxoviridae,meanDB_orthomyxoviridae,virusesWithCFR_orthomyxoviridae,htrans_orthomyxoviridae,on.frac_orthomyxoviridae,virusesWithOT_orthomyxoviridae,meanCFR_hepeviridae,maxCFR_hepeviridae,meanDB_hepeviridae,virusesWithCFR_hepeviridae,htrans_hepeviridae,on.frac_hepeviridae,virusesWithOT_hepeviridae,meanCFR_coronaviridae,maxCFR_coronaviridae,meanDB_coronaviridae,virusesWithCFR_coronaviridae,htrans_coronaviridae,on.frac_coronaviridae,virusesWithOT_coronaviridae,meanCFR_arenaviridae,maxCFR_arenaviridae,meanDB_arenaviridae,virusesWithCFR_arenaviridae,htrans_arenaviridae,on.frac_arenaviridae,virusesWithOT_arenaviridae,meanCFR_reoviridae,maxCFR_reoviridae,meanDB_reoviridae,virusesWithCFR_reoviridae,htrans_reoviridae,on.frac_reoviridae,virusesWithOT_reoviridae,meanCFR_picornaviridae,maxCFR_picornaviridae,meanDB_picornaviridae,virusesWithCFR_picornaviridae,htrans_picornaviridae,on.frac_picornaviridae,virusesWithOT_picornaviridae,meanCFR_hantaviridae,maxCFR_hantaviridae,meanDB_hantaviridae,virusesWithCFR_hantaviridae,htrans_hantaviridae,on.frac_hantaviridae,virusesWithOT_hantaviridae,meanCFR_togaviridae,maxCFR_togaviridae,meanDB_togaviridae,virusesWithCFR_togaviridae,htrans_togaviridae,on.frac_togaviridae,virusesWithOT_togaviridae,meanCFR_poxviridae,maxCFR_poxviridae,meanDB_poxviridae,virusesWithCFR_poxviridae,htrans_poxviridae,on.frac_poxviridae,virusesWithOT_poxviridae,meanCFR_rhabdoviridae,maxCFR_rhabdoviridae,meanDB_rhabdoviridae,virusesWithCFR_rhabdoviridae,htrans_rhabdoviridae,on.frac_rhabdoviridae,virusesWithOT_rhabdoviridae,meanCFR_flaviviridae,maxCFR_flaviviridae,meanDB_flaviviridae,virusesWithCFR_flaviviridae,htrans_flaviviridae,on.frac_flaviviridae,virusesWithOT_flaviviridae,cites
Abrothrix longipilis,0.31,0.31,753,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,0.31,753,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
Abrothrix olivaceus,0.31,0.31,753,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,0.31,753,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
Abrothrix sanborni,0.31,0.31,753,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,0.31,753,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Acerodon celebensis,0.2501025411,0.2501025411,1077,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2501025411,0.2501025411,1077,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Acinonyx jubatus,0.25202050822,1,37483,5,1,0.25,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,3053,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2501025411,0.2501025411,1077,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,1,1,183285,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,407
Acomys cahirinus,0.028069052700000003,0.046138105400000004,3096,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,3053,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046138105400000004,0.046138105400000004,3139,1,0,0,1,310
Acomys dimidiatus,0.046138105400000004,0.046138105400000004,3139,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046138105400000004,0.046138105400000004,3139,1,0,0,1,34
Addax nasomaculatus,0.003275,0.003275,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003275,0.003275,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
Aepyceros melampus,0.00331875,0.01,NA,4,1,0.3333333333333333,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,3053,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003275,0.003275,NA,1,1,1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,172
Aethomys kaiseri,0.046138105400000004,0.046138105400000004,3139,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046138105400000004,0.046138105400000004,3139,1,0,0,1,3
